fecha;nombre_tienda;factor;metodo_pago_limpio;moneda;total_transacciones;total_monto_sistema;MONTO SISTEMA USD;total_monto_auditado;MONTO AUDITADO USD
1/7/2026;[ ATV ] - ALTA VISTA;633,3644;PUNTO DE VENTA;VES;19;162.756,03;256,97;150.088,81;236,97
1/7/2026;[ BAC ] - BUENOS AIRES CANGURO;633,3644;BIOPAGO;VES;12;156.010,57;246,32;156.011,54;246,32
1/7/2026;[ BCN ] - BARCELONA;633,3644;PUNTO DE VENTA;VES;6;31.509,88;49,75;0;0
1/7/2026;[ BNS ] - BARINAS SHOP;633,3644;PUNTO DE VENTA;VES;1;8.233,74;13;8.233,74;13
1/7/2026;[ BNS ] - BARINAS SHOP;633,3644;PUNTO DE VENTA;VES;1;5.066,98;8;5.066,98;8
1/7/2026;[ BRC ] - BARRANCAS;633,3644;PAGO MOVIL;VES;2;8.867,16;14;8.867,16;14
1/7/2026;[ BVC ] - BAZAR VALENCIA CANGURO;633,3644;PUNTO DE VENTA;VES;33;562.721,15;888,46;562.721,21;888,46
1/7/2026;[ CAG ] - CAGUA;633,3644;PAGO MOVIL;VES;2;10.767,26;17;10.767,26;17
1/7/2026;[ CBM ] - CABIMAS;633,3644;PAGO MOVIL;VES;3;27.108,00;42,8;27.108,00;42,8
1/7/2026;[ CBQ ] - CHABASQUEN;633,3644;PUNTO DE VENTA;VES;9;143.207,17;226,11;143.207,17;226,11
1/7/2026;[ CBV ] - CIUDAD BOLIVAR;633,3644;EFECTIVO BS;VES;7;4.623,56;7,3;1.420,00;2,24
1/7/2026;[ CBV ] - CIUDAD BOLIVAR;633,3644;PUNTO DE VENTA;VES;4;29.926,53;47,25;29.926,53;47,25
1/7/2026;[ CCT ] - CC CIUDAD TAMANACO;633,3644;PUNTO DE VENTA;VES;2;24.067,85;38;24.067,85;38
1/7/2026;[ CDL ] - LA CANDELARIA;633,3644;PAGO MOVIL;VES;3;13.934,14;22;13.934,14;22
1/7/2026;[ CHA ] - CHACAO;633,3644;PUNTO DE VENTA;VES;17;112.738,86;178;112.738,86;178
1/7/2026;[ CHI ] - CHIVACOA;633,3644;PUNTO DE VENTA;VES;10;158.898,84;250,88;158.898,83;250,88
1/7/2026;[ CHV ] - CHARALLAVE;633,3644;PUNTO DE VENTA;VES;1;17.000,01;26,84;17.000,00;26,84
1/7/2026;[ CJP ] - CINCO DE JULIO;633,3644;EFECTIVO BS;VES;1;5.066,98;8;5.070,00;8
1/7/2026;[ ADS - TCY ] - AEDOS TOCUYITO;633,3644;PUNTO DE VENTA;VES;13;23.858,84;37,67;23.858,84;37,67
1/7/2026;[ APU ] - APURE;633,3644;PUNTO DE VENTA;VES;20;233.046,81;367,95;233.046,81;367,95
1/7/2026;[ BAC ] - BUENOS AIRES CANGURO;633,3644;PAGO MOVIL;VES;2;342.650,08;541;342.650,08;541
1/7/2026;[ BCN ] - BARCELONA;633,3644;PAGO MOVIL;VES;6;136.553,36;215,6;136.553,27;215,6
